title,platform,type,url,price
interstellar,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.b4a9f7c6-5def-7e63-9aa7-df38a479333e,3.49
interstellar,AppleTV,rent,https://tv.apple.com/gb/movie/interstellar/umc.cmc.1vrwat5k1ucm5k42q97ioqyq3?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A965491522,3.49
interstellar,Sky Store,rent,https://www.skystore.com/product/interstellar/36c3f6fa-d396-4579-88c5-003667fadddb,3.49
interstellar,YouTube,rent,https://www.youtube.com/results?search_query=Interstellar%2Bmovie,3.49
interstellar,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/interstellar,3.49
interstellar,Windows Store,rent,https://www.microsoft.com/en-gb/p/Interstellar/8D6KGWZTH4PF,3.49
seven,Disney+,subscription,https://www.disneyplus.com/movies/seven-psychopaths/21zNZhuAh8GW,
seven,Now TV,subscription,https://www.nowtv.com/gb/watch/seven-psychopaths-2012/A5EK6sKrAaydCVJXX1E99,
seven,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=d41055c4-0515-4ddc-8e26-ad31ffa3ba48&videoId=A5EK6sKrAaydCVJXX1E99,
seven,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.a626d36b-b50f-4f43-9030-b42416633539,3.49
seven,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/seven-psychopaths,3.49
seven,YouTube,rent,https://www.youtube.com/results?search_query=Seven+Psychopaths%2Bmovie,4.49
seven,AppleTV,rent,https://tv.apple.com/gb/movie/seven-psychopaths/umc.cmc.3bum4qo3bdtdkxfh8n6kyu8h?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A1759757939,3.49
seven,Sky Store,rent,https://www.skystore.com/product/seven-psychopaths/1cc1bddf-9757-4535-b000-904e70ae2e0f,3.49
seven,BFI Player,rent,https://player.bfi.org.uk/rentals/film/watch-seven-psychopaths-2012-online,3.5
seven,Windows Store,rent,https://www.microsoft.com/en-gb/p/Seven%20Psychopaths/8D6KGWZL529J,2.49
it's a wonderful life,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.349860ba-9e1c-48c9-8959-abddc4e5b189,
it's a wonderful life,Now TV,subscription,https://www.nowtv.com/gb/watch/its-a-wonderful-life-1946/A5EK6sKrAaydPnDaYDD63,
it's a wonderful life,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=ca00726f-1a76-479e-9fe8-4e5cb687c2e9&videoId=A5EK6sKrAaydPnDaYDD63,
it's a wonderful life,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.60b74048-8f94-96bb-6ec1-0d0416c36168,3.49
it's a wonderful life,YouTube,rent,https://www.youtube.com/results?search_query=It%27s+A+Wonderful+Life%2Bmovie,3.49
it's a wonderful life,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/it-s-a-wonderful-life-25267ae8-aa6b-4cc3-80e0-a66c9f41ec04,3.49
it's a wonderful life,AppleTV,rent,https://tv.apple.com/gb/movie/its-a-wonderful-life/umc.cmc.uxp25jw31biuga9xrrskxqrr?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A297250466,3.49
