rank,title,release_year,duration,rate_type,star_rating,vote_count,transformed_title
158, The Great Escape,1963,2h 52m,PG,8.2, (270K),the great escape
159, Monty Python and the Holy Grail,1975,1h 31m,12A,8.2, (590K),monty python and the holy grail
160, The Elephant Man,1980,2h 4m,AA,8.2, (274K),the elephant man
161, Dial M for Murder,1954,1h 45m,PG,8.2, (199K),dial m for murder
162, Klaus,2019,1h 36m,PG,8.2, (216K),klaus
163, Gone with the Wind,1939,3h 58m,PG,8.2, (348K),gone with the wind
164, Chinatown,1974,2h 10m,X,8.1, (367K),chinatown
165, The Secret in Their Eyes,2009,2h 9m,18,8.2, (234K),the secret in their eyes
166, Rashomon,1950,1h 28m,X,8.2, (191K),rashomon
167," Lock, Stock and Two Smoking Barrels",1998,1h 47m,18,8.1, (637K),"lock, stock and two smoking barrels"
168, V for Vendetta,2005,2h 12m,15,8.1, (1.2M),v for vendetta
169, Inside Out,2015,1h 35m,U,8.1, (874K),inside out
170," Three Billboards Outside Ebbing, Missouri",2017,1h 55m,15,8.1, (586K),"three billboards outside ebbing, missouri"
171, Catch Me If You Can,2002,2h 21m,12A,8.1, (1.2M),catch me if you can
172, Trainspotting,1996,1h 33m,18,8.1, (753K),trainspotting
173, The Bridge on the River Kwai,1957,2h 41m,U,8.1, (243K),the bridge on the river kwai
174, Raging Bull,1980,2h 9m,X,8.1, (398K),raging bull
175, The Wild Robot,2024,1h 42m,U,8.2, (184K),the wild robot
176, Fargo,1996,1h 38m,18,8.1, (760K),fargo
177, Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,12A,8.1, (1M),harry potter and the deathly hallows: part 2
178, Warrior,2011,2h 20m,12A,8.1, (517K),warrior
179, Gran Torino,2008,1h 56m,15,8.1, (843K),gran torino
180, Million Dollar Baby,2004,2h 12m,12A,8.1, (749K),million dollar baby
181, Ben-Hur,1959,3h 32m,A,8.1, (265K),ben-hur
182, Mad Max: Fury Road,2015,2h,15,8.1, (1.2M),mad max: fury road
183, My Neighbour Totoro,1988,1h 26m,U,8.1, (411K),my neighbour totoro
184, Dead Poets Society,1989,2h 8m,PG,8.1, (596K),dead poets society
185, Barry Lyndon,1975,3h 5m,A,8.1, (195K),barry lyndon
186, Children of Heaven,1997,1h 29m,PG,8.2, (87K),children of heaven
